record_date,batch_id,product_name,inspection_stage,inspection_score,inspection_result,deviation_severity,open_ncrs_count,capa_pending_count,capa_critical_count,capa_major_count,audit_score_pct,previous_audit_score_pct,deviation_critical_count,deviation_major_count,deviation_minor_count,audit1_name,audit1_department,audit1_date,audit1_priority,audit2_name,audit2_department,audit2_date,audit2_priority,audit3_name,audit3_department,audit3_date,audit3_priority
2026-01-06,BTC-20260106-004,Paracetamol 650mg,In-Process,99,Pass,None,2,1,0,0,97.4,97.9,0,0,6,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-001,Amoxicillin 500mg,In-Process,98,Pass,None,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-002,Amlodipine 5mg,In-Process,99,Pass,Minor,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-003,Metformin 1g,Final Release,99,Pass,None,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-004,Ciprofloxacin 500mg,In-Process,100,Pass,None,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-005,Atorvastatin 20mg,In-Process,93,Pass,Minor,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-006,Azithromycin 250mg,In-Process,93,Pass,None,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-007,Omeprazole 20mg,Incoming,89,Pass,None,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-07,BTC-20260107-008,Ibuprofen 400mg,In-Process,96,Pass,Minor,5,1,0,0,97.3,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-08,BTC-20260108-001,Atorvastatin 20mg,Final Release,87,Cond.Pass,Minor,4,1,0,0,97.4,97.3,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-08,BTC-20260108-002,Amlodipine 5mg,In-Process,94,Pass,None,4,1,0,0,97.4,97.3,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-08,BTC-20260108-003,Paracetamol 650mg,Final Release,94,Pass,None,4,1,0,0,97.4,97.3,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-08,BTC-20260108-004,Ciprofloxacin 500mg,In-Process,86,Cond.Pass,Major,4,1,0,0,97.4,97.3,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-08,BTC-20260108-005,Cetirizine 10mg,Final Release,91,Pass,Minor,4,1,0,0,97.4,97.3,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-09,BTC-20260109-001,Ciprofloxacin 500mg,Final Release,89,Pass,Minor,4,0,0,0,97.1,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-09,BTC-20260109-002,Metformin 1g,In-Process,95,Pass,Minor,4,0,0,0,97.1,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-09,BTC-20260109-003,Cetirizine 10mg,Incoming,92,Pass,None,4,0,0,0,97.1,97.4,0,0,4,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-10,BTC-20260110-001,Metformin 1g,In-Process,93,Pass,None,5,3,0,1,97.2,97.1,0,1,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-10,BTC-20260110-002,Ibuprofen 400mg,In-Process,95,Pass,None,5,3,0,1,97.2,97.1,0,1,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-10,BTC-20260110-003,Ciprofloxacin 500mg,Stability,89,Cond.Pass,Major,5,3,0,1,97.2,97.1,0,1,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-11,BTC-20260111-001,Atorvastatin 20mg,In-Process,89,Cond.Pass,Minor,6,2,0,0,97.8,97.2,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-11,BTC-20260111-002,Cetirizine 10mg,Incoming,95,Pass,None,6,2,0,0,97.8,97.2,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-11,BTC-20260111-003,Paracetamol 650mg,Incoming,93,Pass,None,6,2,0,0,97.8,97.2,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-11,BTC-20260111-004,Ciprofloxacin 500mg,Incoming,87,Cond.Pass,Minor,6,2,0,0,97.8,97.2,0,0,0,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-001,Omeprazole 20mg,In-Process,98,Pass,Minor,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-002,Ciprofloxacin 500mg,Final Release,90,Cond.Pass,Major,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-003,Amoxicillin 500mg,In-Process,94,Pass,Minor,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-004,Amlodipine 5mg,In-Process,94,Pass,Minor,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-005,Ibuprofen 400mg,In-Process,95,Pass,None,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-006,Cetirizine 10mg,Final Release,96,Pass,None,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-12,BTC-20260112-007,Atorvastatin 20mg,Final Release,92,Pass,Minor,4,2,0,0,96.7,97.8,0,0,5,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-13,BTC-20260113-001,Amlodipine 5mg,In-Process,80,Cond.Pass,Major,8,3,1,2,96.5,96.7,1,3,8,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-13,BTC-20260113-002,Azithromycin 250mg,Final Release,98,Pass,None,8,3,1,2,96.5,96.7,1,3,8,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-13,BTC-20260113-003,Amoxicillin 500mg,In-Process,93,Pass,None,8,3,1,2,96.5,96.7,1,3,8,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-13,BTC-20260113-004,Metformin 1g,Final Release,94,Pass,None,8,3,1,2,96.5,96.7,1,3,8,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-13,BTC-20260113-005,Ciprofloxacin 500mg,Final Release,86,Cond.Pass,Major,8,3,1,2,96.5,96.7,1,3,8,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-13,BTC-20260113-006,Paracetamol 650mg,In-Process,95,Pass,Minor,8,3,1,2,96.5,96.7,1,3,8,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-14,BTC-20260114-001,Metformin 1g,In-Process,95,Pass,None,5,2,0,0,96.8,97.5,0,0,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-14,BTC-20260114-002,Omeprazole 20mg,In-Process,97,Pass,None,5,2,0,0,96.8,97.5,0,0,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-14,BTC-20260114-003,Cetirizine 10mg,In-Process,100,Pass,None,5,2,0,0,96.8,97.5,0,0,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-14,BTC-20260114-004,Azithromycin 250mg,In-Process,94,Pass,Minor,5,2,0,0,96.8,97.5,0,0,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-14,BTC-20260114-005,Atorvastatin 20mg,Final Release,90,Cond.Pass,Major,5,2,0,0,96.8,97.5,0,0,2,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-001,Ciprofloxacin 500mg,In-Process,95,Pass,None,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-002,Amlodipine 5mg,Final Release,98,Pass,Minor,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-003,Cetirizine 10mg,In-Process,95,Pass,Minor,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-004,Metformin 1g,In-Process,93,Pass,Minor,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-005,Ibuprofen 400mg,In-Process,99,Pass,Minor,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-006,Omeprazole 20mg,In-Process,94,Pass,Minor,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-007,Atorvastatin 20mg,Final Release,93,Pass,None,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-15,BTC-20260115-008,Azithromycin 250mg,Final Release,92,Pass,Minor,3,2,0,0,97.8,96.8,0,0,3,Internal GMP Audit,Manufacturing,2026-01-16,High,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low
2026-01-16,BTC-20260116-001,Ibuprofen 400mg,In-Process,91,Pass,None,2,1,0,1,98.2,97.8,0,1,4,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-16,BTC-20260116-002,Cetirizine 10mg,In-Process,96,Pass,None,2,1,0,1,98.2,97.8,0,1,4,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-16,BTC-20260116-003,Omeprazole 20mg,In-Process,94,Pass,None,2,1,0,1,98.2,97.8,0,1,4,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-16,BTC-20260116-004,Atorvastatin 20mg,Final Release,94,Pass,None,2,1,0,1,98.2,97.8,0,1,4,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-16,BTC-20260116-005,Azithromycin 250mg,In-Process,93,Pass,None,2,1,0,1,98.2,97.8,0,1,4,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-16,BTC-20260116-006,Amoxicillin 500mg,Incoming,93,Pass,Minor,2,1,0,1,98.2,97.8,0,1,4,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-17,BTC-20260117-001,Ibuprofen 400mg,In-Process,91,Pass,None,7,2,0,0,98.0,98.2,0,0,5,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-17,BTC-20260117-002,Paracetamol 650mg,Final Release,95,Pass,Minor,7,2,0,0,98.0,98.2,0,0,5,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-17,BTC-20260117-003,Metformin 1g,Final Release,92,Cond.Pass,Minor,7,2,0,0,98.0,98.2,0,0,5,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-17,BTC-20260117-004,Omeprazole 20mg,In-Process,89,Cond.Pass,Major,7,2,0,0,98.0,98.2,0,0,5,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-17,BTC-20260117-005,Cetirizine 10mg,In-Process,93,Pass,None,7,2,0,0,98.0,98.2,0,0,5,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-18,BTC-20260118-001,Paracetamol 650mg,In-Process,94,Pass,None,5,2,0,0,98.7,98.0,0,0,1,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-18,BTC-20260118-002,Metformin 1g,In-Process,94,Pass,None,5,2,0,0,98.7,98.0,0,0,1,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-18,BTC-20260118-003,Cetirizine 10mg,Stability,95,Pass,Minor,5,2,0,0,98.7,98.0,0,0,1,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-19,BTC-20260119-001,Omeprazole 20mg,Incoming,87,Cond.Pass,Minor,5,1,0,0,97.9,98.7,0,0,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-19,BTC-20260119-002,Ciprofloxacin 500mg,Final Release,90,Cond.Pass,Major,5,1,0,0,97.9,98.7,0,0,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-19,BTC-20260119-003,Amlodipine 5mg,In-Process,95,Pass,None,5,1,0,0,97.9,98.7,0,0,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-19,BTC-20260119-004,Amoxicillin 500mg,In-Process,92,Pass,Minor,5,1,0,0,97.9,98.7,0,0,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-19,BTC-20260119-005,Cetirizine 10mg,Incoming,91,Cond.Pass,Major,5,1,0,0,97.9,98.7,0,0,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-19,BTC-20260119-006,Azithromycin 250mg,Stability,92,Pass,None,5,1,0,0,97.9,98.7,0,0,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-20,BTC-20260120-001,Metformin 1g,Final Release,96,Pass,None,5,0,0,0,97.9,97.9,0,1,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-20,BTC-20260120-002,Ciprofloxacin 500mg,Final Release,84,Cond.Pass,Minor,5,0,0,0,97.9,97.9,0,1,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
2026-01-20,BTC-20260120-003,Ibuprofen 400mg,Incoming,90,Pass,Minor,5,0,0,0,97.9,97.9,0,1,2,Process Validation Audit,Production,2026-01-25,Medium,Environmental Monitoring,Quality Control,2026-01-25,Low,Annual Regulatory Audit,QA Department,2026-01-31,High
