record_date,shift,total_units_produced,units_target,capacity_utilization_pct,on_time_delivery_pct,open_issues_count,area_granulation_units,area_compression_units,area_coating_units,area_packaging_units,area_others_units,batch_id,batch_status,total_batches,batches_completed,batches_in_progress,batches_pending,batches_on_hold,granulator_speed_rpm,coater_inlet_temp_celsius,compression_force_kn,humidity_pct_rh,differential_pressure_pa,water_system_toc_ppb,alert_high_count,alert_medium_count,alert_low_count,activity_equipment_calibration_due,activity_preventive_maintenance_due,activity_changeover_scheduled,activity_qc_review_time
2026-01-15,Afternoon,356759,370994,69.9,81.8,2,123874,103494,75952,53436,3,BT202601152,In Progress,25,11,8,2,4,441,57.9,17.1,46.2,10.0,131.6,0,3,0,2,0,1,15:45
2026-01-15,Night,362102,343657,71.1,79.3,2,123150,111919,75809,51222,2,BT202601153,Completed,21,9,7,4,1,448,58.7,16.8,47.7,9.0,133.8,0,2,0,3,3,2,11:15
2026-01-16,Morning,393633,380588,53.5,81.5,0,137532,111815,81160,63124,2,BT202601161,In Progress,27,16,8,4,0,445,58.7,17.8,44.8,11.8,137.8,0,1,2,4,4,0,09:15
2026-01-16,Afternoon,363154,361558,53.1,80.4,1,123818,100709,80521,58104,2,BT202601162,Completed,22,10,7,1,4,454,58.6,17.4,41.8,10.6,135.5,0,1,1,2,1,0,11:00
2026-01-16,Night,333989,334917,56.6,80.1,1,117559,92936,69660,53831,3,BT202601163,Completed,23,9,8,2,4,458,58.5,17.5,40.3,10.9,130.2,0,2,1,4,2,4,11:30
2026-01-17,Morning,359014,365679,62.0,74.6,2,115551,106617,78821,58023,2,BT202601171,In Progress,24,13,6,3,2,468,57.2,17.7,45.1,13.8,107.6,0,1,1,4,3,2,09:00
2026-01-17,Afternoon,336851,347395,65.5,74.8,3,109865,105009,69176,52799,2,BT202601172,In Progress,24,9,7,2,6,449,56.4,18.7,48.1,15.3,119.1,0,0,1,3,4,5,15:30
2026-01-17,Night,323400,321797,61.9,75.8,3,108682,100239,62822,51654,3,BT202601173,On Hold,21,7,5,1,8,444,55.7,17.9,45.0,17.1,109.7,0,1,1,4,2,2,16:30
2026-01-18,Morning,301819,356052,47.0,77.2,2,100977,89788,65286,45766,2,BT202601181,On Hold,23,12,6,3,2,461,61.5,17.2,49.6,11.5,121.1,1,0,0,5,1,3,16:00
2026-01-18,Afternoon,308247,338249,45,75.9,3,103933,97762,66189,40361,2,BT202601182,Pending,22,12,6,2,2,460,59.8,17.7,49.9,13.8,104.6,1,0,1,1,4,1,15:15
2026-01-18,Night,282628,313326,48.6,73.9,2,94917,82105,58264,47341,1,BT202601183,Completed,19,8,6,2,3,467,61.7,18.1,51.5,12.6,120.0,0,0,1,1,3,2,10:30
2026-01-19,Morning,408627,409738,57.6,82.3,3,135951,120820,84548,67305,3,BT202601191,In Progress,23,13,8,3,0,437,59.9,20.6,45.1,11.0,134.0,1,1,3,1,0,0,11:15
2026-01-19,Afternoon,388083,389251,57.8,84.4,3,131762,110943,75137,70239,2,BT202601192,Completed,25,13,7,2,3,439,59.0,18.3,40.5,11.5,137.5,1,3,1,3,3,2,14:00
2026-01-19,Night,359933,360569,54.2,81.6,2,119146,114632,70657,55497,1,BT202601193,Completed,21,8,6,2,5,444,59.0,18.9,38.6,12.6,125.8,0,1,1,3,5,1,09:15
2026-01-20,Morning,395763,365941,61.7,78.5,1,133964,121756,79713,60329,1,BT202601201,On Hold,24,13,6,3,2,446,56.5,16.8,48.1,8.6,124.3,0,2,3,4,5,5,14:00
2026-01-20,Afternoon,328648,347644,59.5,77.5,1,110641,96460,66137,55407,3,BT202601202,In Progress,23,10,5,2,6,447,55.5,18.8,46.1,10.7,121.0,2,3,3,3,4,1,11:00
2026-01-20,Night,300706,322028,62.4,77.6,2,102664,82939,63932,51170,1,BT202601203,Completed,20,8,7,1,4,448,58.6,17.0,44.8,10.6,127.5,1,3,2,2,5,1,15:45
2026-01-21,Morning,383355,377192,65.4,76.9,4,133622,111170,74515,64046,2,BT202601211,Completed,24,10,6,2,6,455,59.4,18.5,44.7,11.1,137.5,0,2,1,4,3,5,14:00
2026-01-21,Afternoon,342764,358332,68.1,76.5,4,110878,93175,76042,62667,2,BT202601212,In Progress,27,12,8,2,5,464,59.8,17.5,45.5,12.6,126.1,0,2,0,2,2,1,15:30
2026-01-21,Night,341311,331929,69.3,78.7,3,117000,96759,75999,51551,2,BT202601213,Completed,21,7,6,2,6,454,59.1,18.0,41.9,11.0,136.9,1,2,2,0,6,1,09:00
2026-01-22,Morning,408918,401655,70.3,88.2,3,127434,126212,87571,67699,2,BT202601221,On Hold,25,12,9,2,2,448,58.9,17.4,47.5,12.5,112.7,0,1,0,2,1,2,10:00
2026-01-22,Afternoon,416516,381572,66.9,88.4,3,144444,121816,88812,61442,2,BT202601222,On Hold,24,10,7,2,5,453,57.0,17.2,44.5,13.4,123.5,1,1,3,1,2,4,14:15
2026-01-22,Night,354059,353456,69.3,86.0,3,119371,97176,82782,54728,2,BT202601223,On Hold,20,9,6,1,4,455,61.6,17.6,48.6,14.5,117.6,2,0,3,3,0,4,15:30
2026-01-23,Morning,381301,393264,57.7,85.0,0,122722,115796,79820,62960,3,BT202601231,In Progress,23,10,5,1,7,459,56.2,17.9,38.5,10.5,126.5,0,1,1,1,4,3,14:00
2026-01-23,Afternoon,340622,373601,61.4,87.6,1,116482,100437,75264,48437,2,BT202601232,Completed,24,10,6,2,6,464,57.3,17.5,41.1,12.4,139.0,0,1,1,1,2,4,14:00
2026-01-23,Night,336380,346072,58.5,82.8,0,115728,104667,69535,46447,3,BT202601233,In Progress,17,6,4,1,6,449,56.6,17.9,36.5,10.8,118.8,1,1,1,3,3,4,15:00
2026-01-24,Morning,354673,371879,61.4,80.9,2,121273,103565,75121,54712,2,BT202601241,On Hold,28,10,7,3,8,451,57.4,17.9,44.0,11.1,104.2,0,0,1,1,4,2,15:15
2026-01-24,Afternoon,351301,353285,66.0,81.6,2,110290,105956,79488,55565,2,BT202601242,Completed,21,9,8,3,1,462,54.3,18.9,43.8,11.8,113.8,0,2,2,0,0,1,10:00
2026-01-24,Night,311075,327253,61.8,79.1,2,115422,81742,65683,48226,2,BT202601243,On Hold,24,9,10,1,4,469,58.7,18.2,46.7,13.1,97.9,1,1,2,1,2,2,14:30
2026-01-25,Morning,310467,362501,56.3,79.8,3,102475,98208,61994,47788,2,BT202601251,In Progress,21,11,7,2,1,461,58.6,17.1,46.5,11.7,114.7,2,2,2,1,5,4,09:00
2026-01-25,Afternoon,302958,344376,55.4,77.9,1,95815,90921,64485,51735,2,BT202601252,Completed,22,9,6,3,4,448,59.4,16.7,45.1,11.1,105.5,0,0,2,0,4,3,10:45
2026-01-25,Night,296719,319001,59.1,77.6,2,103800,92316,60191,40409,3,BT202601253,In Progress,19,8,6,1,4,444,59.2,16.8,43.1,10.5,110.4,0,1,0,4,0,4,15:00
2026-01-26,Morning,378498,380023,60.7,82.8,2,111786,116499,86683,63528,2,BT202601261,Completed,27,13,10,2,2,427,57.1,17.8,44.2,11.6,118.0,0,1,0,1,2,1,15:15
2026-01-26,Afternoon,372079,361022,61.0,79.6,2,117032,118049,83036,53959,3,BT202601262,On Hold,24,10,9,2,3,433,57.3,18.5,42.4,11.7,106.4,0,0,2,4,4,0,15:00
2026-01-26,Night,331733,334420,63.1,83.4,3,115689,96475,67667,51900,2,BT202601263,On Hold,21,6,6,2,7,447,57.2,18.6,44.3,10.5,134.8,0,3,0,3,3,3,10:00
2026-01-27,Morning,352057,395953,68.1,85.0,3,119571,100686,66777,65021,2,BT202601271,On Hold,27,13,8,2,4,458,58.4,18.6,48.7,11.4,146.9,1,3,0,2,6,3,10:15
2026-01-27,Afternoon,381016,376156,65.7,86.6,3,125640,113600,77889,63886,1,BT202601272,On Hold,21,10,6,2,3,456,59.7,19.3,49.0,12.8,145.2,0,2,0,2,3,5,10:30
2026-01-27,Night,286889,348439,60.8,82.6,3,92989,87165,62132,44601,2,BT202601273,Completed,19,7,5,1,6,460,57.5,19.3,48.7,11.7,141.9,0,0,4,0,4,2,15:00
2026-01-28,Morning,358722,364300,70.1,81.7,1,121850,100103,79456,57311,2,BT202601281,Completed,27,15,9,2,1,425,59.4,16.5,45.5,10.8,121.9,0,1,1,2,4,4,14:00
2026-01-28,Afternoon,330641,346085,63.4,79.4,0,112985,97727,66066,53861,2,BT202601282,On Hold,22,9,6,2,5,431,59.1,18.6,42.2,10.7,123.1,0,3,3,0,5,1,15:45
2026-01-28,Night,319746,320584,66.9,81.3,1,113359,94897,63372,48117,1,BT202601283,On Hold,19,5,7,2,5,422,58.1,18.0,47.6,11.6,107.0,0,0,0,1,3,2,09:45
2026-01-29,Morning,358066,388400,64.9,86.4,4,126209,99291,79278,53287,1,BT202601291,Pending,28,17,8,1,2,438,56.3,17.3,44.1,10.0,129.6,0,0,2,2,5,4,14:00
2026-01-29,Afternoon,352849,368980,63.8,84.8,5,116708,97228,77309,61602,2,BT202601292,Completed,23,9,6,2,6,444,55.1,17.3,45.8,10.5,144.2,0,3,2,2,2,2,10:15
2026-01-29,Night,341900,341792,65.2,84.7,5,106475,109617,72212,53594,2,BT202601293,Completed,18,8,4,1,5,434,57.6,17.8,43.9,9.0,141.2,0,0,0,1,6,2,14:45
2026-01-30,Morning,356531,368462,50.9,75.4,1,109500,108396,75245,63388,2,BT202601301,Completed,24,12,7,3,2,455,59.2,18.1,51.3,14.2,117.0,1,0,1,2,6,3,14:30
2026-01-30,Afternoon,322617,350039,53.6,77.4,2,108907,93688,63186,56834,2,BT202601302,Completed,21,9,5,3,4,463,58.7,17.9,50.1,13.5,115.0,1,0,3,0,3,1,15:30
2026-01-30,Night,325635,324247,50.7,77.3,0,111063,92351,71178,51042,1,BT202601303,Completed,22,10,5,1,6,463,57.5,18.4,50.7,12.3,110.3,0,1,1,2,0,1,10:15
2026-01-31,Morning,391997,390728,66.5,89.6,1,123944,119627,83570,64854,2,BT202601311,On Hold,27,11,8,1,7,441,61.4,19.1,45.5,11.6,112.5,1,2,1,4,1,0,09:00
2026-01-31,Afternoon,359963,371192,64.6,85.5,1,124066,97707,84136,54052,2,BT202601312,Completed,24,10,9,2,3,443,60.5,18.8,45.6,13.7,120.0,1,2,1,1,0,4,15:00
2026-01-31,Night,337908,343841,62.7,85.8,1,119842,96831,66638,54595,2,BT202601313,On Hold,20,9,5,2,4,429,61.0,17.3,44.0,13.2,98.1,1,2,1,0,0,6,14:30
2026-02-01,Morning,348127,369343,59.2,73.5,1,114667,105446,70621,57392,1,BT202602011,Completed,26,10,7,2,7,439,56.9,17.1,43.4,11.2,121.8,2,3,1,5,1,0,11:30
2026-02-01,Afternoon,345543,350876,62.3,69.2,1,115938,101649,70665,57289,2,BT202602012,Completed,22,11,6,2,3,434,59.1,17.3,40.4,11.3,124.7,0,2,3,4,3,1,14:00
2026-02-01,Night,317060,325022,62.6,74.3,0,105667,92454,60632,58305,2,BT202602013,Completed,20,8,6,2,4,440,57.6,16.9,42.5,12.0,117.7,0,3,2,2,2,1,09:00
2026-02-02,Morning,385364,401582,58.4,85.6,2,131668,106740,78879,68074,3,BT202602021,Completed,26,11,8,2,5,454,59.6,17.7,43.1,10.7,142.1,0,0,1,4,1,3,14:00
2026-02-02,Afternoon,384990,381503,56.2,85.9,2,130304,113836,83845,57003,2,BT202602022,Completed,23,10,6,3,4,456,59.3,17.3,45.0,11.5,138.5,0,0,3,5,0,3,16:15
2026-02-02,Night,357019,353392,57.0,85.8,4,114813,111711,73137,57356,2,BT202602023,On Hold,23,7,7,2,7,457,60.6,17.2,46.1,11.7,132.8,1,0,1,7,1,2,15:30
2026-02-03,Morning,392943,379470,72.0,74.4,4,132545,115901,83495,61000,2,BT202602031,In Progress,24,13,6,1,4,456,55.6,19.7,45.3,9.4,122.6,0,0,2,4,5,3,10:30
2026-02-03,Afternoon,394061,360496,73.9,75.6,3,132601,113550,86837,61071,2,BT202602032,In Progress,26,11,8,3,4,454,56.6,17.9,47.8,9.9,131.0,0,0,1,4,2,0,14:15
2026-02-03,Night,344564,333933,74.3,77.3,2,117398,107753,67097,52314,2,BT202602033,In Progress,18,7,5,1,5,462,56.3,17.8,43.8,9.8,121.8,0,2,1,5,6,2,10:00
2026-02-04,Morning,394221,405501,67.8,93.0,4,129836,117308,91618,55457,2,BT202602041,On Hold,25,11,8,2,4,446,58.8,17.7,44.2,13.3,126.3,1,0,4,7,4,0,11:30
2026-02-04,Afternoon,376045,385226,63.8,92.1,4,125857,111342,84835,54009,2,BT202602042,In Progress,19,7,4,1,7,456,59.6,17.3,41.8,11.1,140.4,1,2,2,6,4,0,10:00
2026-02-04,Night,348923,356841,67.2,94.7,3,119786,100887,71067,57181,2,BT202602043,On Hold,19,8,5,1,5,463,58.8,17.9,43.7,11.9,114.6,0,2,4,3,8,6,11:15
2026-02-05,Morning,381877,398562,73.2,88.6,4,125174,118051,78708,59943,1,BT202602051,Completed,24,11,6,3,4,452,58.0,16.0,43.1,9.7,95.3,0,3,2,0,3,2,16:15
2026-02-05,Afternoon,363800,378634,71.3,85.2,4,119651,116283,75587,52277,2,BT202602052,Completed,24,11,6,3,4,442,58.5,16.4,41.5,9.3,103.3,2,3,2,2,1,5,15:00
2026-02-05,Night,339483,350735,76.0,86.0,5,115018,106176,67453,50833,3,BT202602053,In Progress,23,10,7,1,5,441,56.8,17.5,41.5,10.7,97.7,2,0,3,0,3,0,09:00
2026-02-06,Morning,361777,390551,55.7,84.9,5,119709,105053,81186,55826,3,BT202602061,On Hold,24,11,8,3,2,446,58.5,17.3,43.8,12.8,128.8,2,2,2,1,6,2,14:00
2026-02-06,Afternoon,295841,371024,50.0,86.5,5,99912,86118,60359,49450,2,BT202602062,Completed,22,10,6,3,3,464,58.8,17.6,47.5,12.0,113.0,0,0,2,2,1,0,14:00
2026-02-06,Night,316224,343685,53.1,85.5,5,103505,92501,65717,54500,1,BT202602063,In Progress,20,8,6,3,3,453,58.3,18.5,43.6,11.2,120.4,1,1,0,2,0,1,15:30
2026-02-07,Morning,405626,374003,66.2,77.3,6,135840,120035,85819,63930,2,BT202602071,In Progress,27,13,11,2,1,444,56.8,17.0,45.6,13.4,114.9,2,2,2,1,1,2,09:00
2026-02-07,Afternoon,366560,355303,63.9,79.6,5,127627,105595,71494,61842,2,BT202602072,In Progress,20,9,7,2,2,448,53.9,16.7,46.5,12.6,124.2,1,3,2,3,5,0,15:15
2026-02-07,Night,327525,329123,64.8,75.7,6,109691,93880,69365,54587,2,BT202602073,On Hold,19,7,5,1,6,442,55.8,17.0,44.7,12.1,116.9,1,0,1,0,6,3,14:00
2026-02-08,Morning,383890,364419,68.2,77.9,2,130788,114243,83394,55463,2,BT202602081,In Progress,25,12,8,3,2,439,57.8,16.1,45.9,11.2,132.6,1,1,0,4,3,2,11:30
2026-02-08,Afternoon,360909,346198,68.6,77.4,3,116116,106810,77979,60002,2,BT202602082,Completed,27,13,8,2,4,444,59.6,17.9,47.2,9.2,126.8,0,1,0,1,1,3,10:30
2026-02-08,Night,321728,320689,69.0,77.0,2,106256,97886,66521,51064,1,BT202602083,Completed,20,9,6,1,4,449,57.9,16.9,45.4,10.4,134.0,0,1,1,3,1,5,09:00
2026-02-09,Morning,384006,405241,64.7,93.5,1,131377,116845,77512,58270,2,BT202602091,Completed,26,13,9,3,1,455,54.7,19.4,44.2,10.8,109.6,0,0,2,4,2,3,14:15
2026-02-09,Afternoon,390848,384979,71.1,95.2,0,135268,111268,82312,61998,2,BT202602092,Completed,24,10,7,1,6,450,53.9,18.1,39.1,10.7,117.7,0,0,1,0,0,0,14:45
2026-02-09,Night,320282,356612,64.0,95.2,1,110624,99065,65575,45016,2,BT202602093,Pending,25,11,7,3,4,451,57.2,19.0,38.2,10.7,116.8,0,2,0,1,1,3,10:00
2026-02-10,Morning,384762,404419,67.5,84.2,2,135773,110093,77771,61123,2,BT202602101,Pending,23,12,8,4,0,434,55.8,19.0,36.4,11.9,138.6,0,2,0,1,3,5,11:00
2026-02-10,Afternoon,384400,384198,64.2,80.5,3,124946,119781,75480,64191,2,BT202602102,In Progress,21,10,6,2,3,430,56.1,17.8,33,12.1,141.7,0,1,0,2,5,2,14:00
2026-02-10,Night,341956,355889,64.6,81.7,3,117427,97765,73203,53559,2,BT202602103,On Hold,24,7,8,3,6,423,55.3,18.0,38.0,10.8,135.2,0,0,1,2,8,4,14:45
2026-02-11,Morning,360771,377854,63.4,84.0,4,123010,111619,76323,49817,2,BT202602111,In Progress,26,14,10,4,0,452,56.6,16.2,44.7,11.9,136.4,0,2,3,1,3,1,14:00
2026-02-11,Afternoon,344234,358961,62.1,85.4,5,118878,91001,79023,55331,1,BT202602112,Pending,22,9,6,2,5,447,55.9,16.4,44.6,10.9,133.8,0,1,0,0,4,3,10:00
2026-02-11,Night,338214,332512,62.2,83.6,5,111631,99131,72135,55315,2,BT202602113,On Hold,22,8,7,3,4,448,57.3,16.9,44.7,11.5,146.8,2,2,2,1,6,4,11:30
2026-02-12,Morning,401660,394177,62.9,89.1,3,149976,102617,79998,69068,1,BT202602121,Completed,24,14,7,2,1,467,59.0,18.4,46.7,12.5,112.6,0,1,0,3,2,3,09:15
2026-02-12,Afternoon,391310,374468,62.5,87.0,2,135363,118536,77646,59763,2,BT202602122,Completed,26,13,10,3,0,457,58.6,18.7,46.7,12.0,119.4,0,3,1,3,3,1,15:00
2026-02-12,Night,339808,346876,59.9,88.8,3,112847,100814,71977,54168,2,BT202602123,Pending,19,9,5,1,4,460,58.3,17.3,45.4,11.9,128.6,0,1,1,2,3,2,11:15
2026-02-13,Morning,341323,400159,53.3,82.0,2,115161,105605,70377,50179,1,BT202602131,Pending,23,12,7,3,1,458,57.2,18.6,48.5,11.1,126.7,0,2,3,2,2,3,10:00
2026-02-13,Afternoon,361708,380151,53.9,84.7,0,132372,98164,75494,55676,2,BT202602132,Completed,23,10,5,2,6,450,56.6,17.6,46.1,11.8,122.5,1,1,3,2,6,2,14:30
2026-02-13,Night,337178,352140,53.8,78.1,1,112665,102041,71319,51151,2,BT202602133,Pending,16,5,5,1,5,451,55.6,17.0,42.8,10.6,123.2,1,1,2,3,2,2,16:00
2026-02-14,Morning,368369,377154,78.4,83.3,6,121336,110542,73994,62496,1,BT202602141,In Progress,24,11,8,3,2,456,58.6,19.0,47.8,12.3,124.6,0,1,1,2,0,4,11:30
2026-02-14,Afternoon,365321,358296,75.5,84.6,5,124157,107441,78412,55308,3,BT202602142,In Progress,23,9,7,3,4,453,58.6,19.1,49.5,11.2,117.7,0,0,1,5,2,1,11:15
2026-02-14,Night,341569,331895,75.3,81.2,5,118165,97690,70021,55691,2,BT202602143,Pending,18,8,5,2,3,446,57.4,18.9,52.7,12.0,131.5,2,1,4,3,0,0,15:00
